machine,limits,benchmark,lower_is_better,repetition,result
"issdm-16","with_limits","stressng-matrix-frobenius",false,"1",48817.553237
"issdm-16","with_limits","stressng-matrix-mult",false,"1",92283.621551
"issdm-16","with_limits","stressng-matrix-prod",false,"1",396.99031
"issdm-16","with_limits","stressng-matrix-sub",false,"1",48723.430789
"issdm-16","with_limits","stressng-matrix-hadamard",false,"1",45743.174779
"issdm-16","with_limits","stressng-matrix-trans",false,"1",60774.534209
"issdm-17","with_limits","stressng-matrix-add",false,"1",51892.723139
"issdm-17","with_limits","stressng-matrix-div",false,"1",31507.280706
"issdm-17","with_limits","stressng-matrix-frobenius",false,"1",47465.176916
"issdm-17","with_limits","stressng-matrix-mult",false,"1",92927.603263
"issdm-17","with_limits","stressng-matrix-prod",false,"1",396.581138
"issdm-17","with_limits","stressng-matrix-sub",false,"1",55381.396517
"issdm-17","with_limits","stressng-matrix-hadamard",false,"1",51274.558586
"issdm-17","with_limits","stressng-matrix-trans",false,"1",59075.111091
"issdm-24","with_limits","stressng-matrix-add",false,"1",46205.820225
"issdm-24","with_limits","stressng-matrix-div",false,"1",31474.759523
"issdm-24","with_limits","stressng-matrix-frobenius",false,"1",47518.435416
"issdm-24","with_limits","stressng-matrix-mult",false,"1",92383.97765
"issdm-24","with_limits","stressng-matrix-prod",false,"1",396.690203
"issdm-24","with_limits","stressng-matrix-sub",false,"1",52117.848765
"issdm-24","with_limits","stressng-matrix-hadamard",false,"1",52030.807104
"issdm-24","with_limits","stressng-matrix-trans",false,"1",60963.540493
"issdm-27","with_limits","stressng-matrix-add",false,"1",56040.586461
"issdm-27","with_limits","stressng-matrix-div",false,"1",31473.567459
"issdm-27","with_limits","stressng-matrix-frobenius",false,"1",48831.778931
"issdm-27","with_limits","stressng-matrix-mult",false,"1",91863.997923
"issdm-27","with_limits","stressng-matrix-prod",false,"1",397.390497
"issdm-27","with_limits","stressng-matrix-sub",false,"1",51721.580092
"issdm-27","with_limits","stressng-matrix-hadamard",false,"1",51191.128912
"issdm-27","with_limits","stressng-matrix-trans",false,"1",64039.542772
"issdm-29","with_limits","stressng-matrix-add",false,"1",46212.505506
"issdm-29","with_limits","stressng-matrix-div",false,"1",31471.638868
"issdm-29","with_limits","stressng-matrix-frobenius",false,"1",49331.717919
"issdm-29","with_limits","stressng-matrix-mult",false,"1",92879.540917
"issdm-29","with_limits","stressng-matrix-prod",false,"1",396.924083
"issdm-29","with_limits","stressng-matrix-sub",false,"1",54980.190701
"issdm-29","with_limits","stressng-matrix-hadamard",false,"1",51470.389767
"issdm-29","with_limits","stressng-matrix-trans",false,"1",61051.306117
"issdm-3","with_limits","stressng-matrix-add",false,"1",55131.373799
"issdm-3","with_limits","stressng-matrix-div",false,"1",31472.018726
"issdm-3","with_limits","stressng-matrix-frobenius",false,"1",47588.00839
"issdm-3","with_limits","stressng-matrix-mult",false,"1",93227.856027
"issdm-3","with_limits","stressng-matrix-prod",false,"1",396.931709
"issdm-3","with_limits","stressng-matrix-sub",false,"1",46242.876945
"issdm-3","with_limits","stressng-matrix-hadamard",false,"1",45122.097685
"issdm-3","with_limits","stressng-matrix-trans",false,"1",58941.057356
"issdm-34","with_limits","stressng-matrix-add",false,"1",45739.109742
"issdm-34","with_limits","stressng-matrix-div",false,"1",31506.219782
"issdm-34","with_limits","stressng-matrix-frobenius",false,"1",49219.475844
"issdm-34","with_limits","stressng-matrix-mult",false,"1",92508.525489
"issdm-34","with_limits","stressng-matrix-prod",false,"1",395.818706
"issdm-34","with_limits","stressng-matrix-sub",false,"1",47556.550608
"issdm-34","with_limits","stressng-matrix-hadamard",false,"1",45270.319584
"issdm-34","with_limits","stressng-matrix-trans",false,"1",59193.449335
"issdm-40","with_limits","stressng-matrix-add",false,"1",58056.437814
"issdm-40","with_limits","stressng-matrix-div",false,"1",31472.853811
"issdm-40","with_limits","stressng-matrix-frobenius",false,"1",49181.142149
"issdm-40","with_limits","stressng-matrix-mult",false,"1",91407.704226
"issdm-40","with_limits","stressng-matrix-prod",false,"1",397.312263
"issdm-40","with_limits","stressng-matrix-sub",false,"1",57029.989013
"issdm-40","with_limits","stressng-matrix-hadamard",false,"1",45455.721639
"issdm-40","with_limits","stressng-matrix-trans",false,"1",59381.931585
"issdm-6","with_limits","stressng-matrix-add",false,"1",52079.16056
"issdm-6","with_limits","stressng-matrix-div",false,"1",31470.336998
"issdm-6","with_limits","stressng-matrix-frobenius",false,"1",47518.637335
"issdm-6","with_limits","stressng-matrix-mult",false,"1",92768.60677
"issdm-6","with_limits","stressng-matrix-prod",false,"1",397.558846
"issdm-6","with_limits","stressng-matrix-sub",false,"1",45198.463399
"issdm-6","with_limits","stressng-matrix-hadamard",false,"1",46777.306388
"issdm-6","with_limits","stressng-matrix-trans",false,"1",62544.826354
"issdm-0","no_limits","stressng-matrix-add",false,"1",103855.207617
"issdm-0","no_limits","stressng-matrix-div",false,"1",62808.520853
"issdm-0","no_limits","stressng-matrix-frobenius",false,"1",94570.648617
"issdm-0","no_limits","stressng-matrix-mult",false,"1",184454.68457
"issdm-0","no_limits","stressng-matrix-prod",false,"1",787.320613
"issdm-0","no_limits","stressng-matrix-sub",false,"1",102651.244711
"issdm-0","no_limits","stressng-matrix-hadamard",false,"1",94616.444544
"issdm-0","no_limits","stressng-matrix-trans",false,"1",125822.024207
"issdm-1","no_limits","stressng-matrix-add",false,"1",104593.473228
"issdm-1","no_limits","stressng-matrix-div",false,"1",62809.3952
"issdm-1","no_limits","stressng-matrix-frobenius",false,"1",95433.613808
"issdm-1","no_limits","stressng-matrix-mult",false,"1",183637.643845
"issdm-1","no_limits","stressng-matrix-prod",false,"1",791.417087
"issdm-1","no_limits","stressng-matrix-sub",false,"1",91079.190474
"issdm-1","no_limits","stressng-matrix-hadamard",false,"1",104761.865037
"issdm-1","no_limits","stressng-matrix-trans",false,"1",121301.917367
